date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:43	26682/26682	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:33%20GMT	http://www.eptc.church/bajana-group/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/bajana-group/index.html	(from http://www.eptc.church/)
16:58:44	5305/5305	---M--	200	added ('OK')	application/javascript	etag:%225a410cf-14b9-51c49905e1e73%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox-media.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox-media5152.js	(from http://www.eptc.church/)
16:58:44	259084/259084	---M--	200	added ('OK')	image/jpeg	etag:%225b42a40-3f40c-5281cc59fe319%22	http://www.eptc.church/wp-content/uploads/2015/12/DSC03370__.jpg	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/uploads/2015/12/DSC03370__.jpg	(from http://www.eptc.church/)
16:58:46	24649/24649	---M--	200	added ('OK')	application/javascript	etag:%225a410d2-6049-51c49905f10a2%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox5152.js	(from http://www.eptc.church/)
16:58:46	27020/27020	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:36%20GMT	http://www.eptc.church/snacks-stall/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/snacks-stall/index.html	(from http://www.eptc.church/)
16:58:47	26475/26475	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:36%20GMT	http://www.eptc.church/news-letter/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/news-letter/index.html	(from http://www.eptc.church/)
16:58:47	3836/3836	---M--	200	added ('OK')	application/javascript	etag:%225a410cc-efc-51c49905d95bb%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox-thumbs.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.fancybox-thumbs5152.js	(from http://www.eptc.church/)
16:58:49	65479/65479	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:39%20GMT	http://www.eptc.church/daily-reading/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/daily-reading/index.html	(from http://www.eptc.church/)
16:58:49	7336/7336	---M--	200	added ('OK')	application/javascript	etag:%225a410d8-1ca8-51c4990607fd1%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/gdl-scripts.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/gdl-scripts5152.js	(from http://www.eptc.church/)
16:58:50	1518/1518	---M--	200	added ('OK')	application/javascript	etag:%225a431b4-5ee-526ac9b869fef%22	http://www.eptc.church/wp-includes/js/wp-embed.min.js?ver=4.4.2	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-includes/js/wp-embed.minc1f9.js	(from http://www.eptc.church/)
16:58:51	32002/32002	---MC-	200	added ('OK')	text/html	date:Sat,%2027%20Feb%202016%2011:28:41%20GMT	http://www.eptc.church/contact-us/	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/contact-us/index.html	(from http://www.eptc.church/)
16:58:51	1555/1555	---M--	200	added ('OK')	image/png	etag:%225a410e9-613-51c4990626c00%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/button-shadow.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/button-shadow.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:52	6681/6681	---M--	200	added ('OK')	image/gif	etag:%225a410e6-1a19-51c499061ef01%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/loading.gif	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/loading.gif	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:52	2863/2863	---M--	200	added ('OK')	image/png	etag:%225a41186-b2f-51c499087f54b%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/content-shadow.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/content-shadow.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:53	31683/31683	---M--	200	added ('OK')	application/javascript	etag:%225a410c7-7bc3-51c49905aaba5%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.nivo.slider.js?ver=1.0	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/javascript/jquery.nivo.slider5152.js	(from http://www.eptc.church/)
16:58:53	2857/2857	---M--	200	added ('OK')	image/png	etag:%225a410e7-b29-51c499061f2e9%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/top-slider-nav-left.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/top-slider-nav-left.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:54	2861/2861	---M--	200	added ('OK')	image/png	etag:%225a410ed-b2d-51c499062e130%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/top-slider-nav-right.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/top-slider-nav-right.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:54	2836/2836	---M--	200	added ('OK')	image/png	etag:%225a41181-b14-51c499085edc4%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/price-active.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/price-active.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
16:58:54	3099/3099	---M--	200	added ('OK')	image/png	etag:%225a41154-c1b-51c49906945e4%22	http://www.eptc.church/wp-content/themes/realchurch-v1-06/images/icon/light/top-search.png	F:/churchwebsiteinaguration/churchwebsite/allfiles/EPTC%20Website/www.eptc.church/wp-content/themes/realchurch-v1-06/images/icon/light/top-search.png	(from http://www.eptc.church/wp-content/themes/realchurch-v1-06/style.css?ver=4.4.2)
